ispb,codigo_compe,nome,nome_completo
15111975,401,"IUGU IP S.A.","IUGU INSTITUIÇÃO DE PAGAMENTO S.A."
15114366,107,"BCO BOCOM BBM S.A.","Banco Bocom BBM S.A."
15124464,334,"BANCO BESA S.A.","BANCO BESA S.A."
15173776,412,"SOCIAL BANK S/A","SOCIAL BANK BANCO MÚLTIPLO S/A"
15357060,124,"BCO WOORI BANK DO BRASIL S.A.","Banco Woori Bank do Brasil S.A."
15581638,149,"FACTA S.A. CFI","Facta Financeira S.A. - Crédito Financiamento e Investimento"
16501555,197,"STONE IP S.A.","STONE INSTITUIÇÃO DE PAGAMENTO S.A."
16695922,439,"ID CTVM","ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."
16814330,690,"BK IP S.A.","BK INSTITUIÇÃO DE PAGAMENTO S.A."
16944141,142,"BROKER BRASIL CC LTDA.","Broker Brasil Corretora de Câmbio Ltda."
17079937,529,"PINBANK IP","PINBANK BRASIL INSTITUIÇÃO DE PAGAMENTO S.A."
17157777,415,"BCO NACIONAL","BANCO NACIONAL S.A."
17184037,389,"BCO MERCANTIL DO BRASIL S.A.","Banco Mercantil do Brasil S.A."
17351180,634,"BCO TRIANGULO S.A.","BANCO TRIANGULO S.A."
17352220,545,"SENSO CCVM S.A.","SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A"
17453575,132,"ICBC DO BRASIL BM S.A.","ICBC do Brasil Banco Múltiplo S.A."
17772370,298,"VIPS CC S.A.","VIPS CORRETORA DE CÂMBIO S.A."
17826860,377,"BMS SCD S.A.","BMS SOCIEDADE DE CRÉDITO DIRETO S.A."
18188384,321,"CREFAZ SCMEPP SA","CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE S.A."
18189547,542,"CLOUDWALK IP LTDA","CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA"
18236120,260,"NU PAGAMENTOS - IP","NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO"
18282093,573,"OXY CH","OXY COMPANHIA HIPOTECÁRIA"
18394228,470,"CDC SCD S.A.","CDC SOCIEDADE DE CRÉDITO DIRETO S.A."
18520834,129,"UBS BB BI S.A.","UBS BB BANCO DE INVESTIMENTO S.A."
18684408,562,"AZIMUT BRASIL DTVM LTDA","AZIMUT BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA"
19307785,128,"BRAZA BANK S.A. BCO DE CÂMBIO","BRAZA BANK S.A. BANCO DE CÂMBIO"
19324634,416,"LAMARA SCD S.A.","LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A."
19468242,595,"IFOOD PAGO IP","IFOOD PAGO INSTITUIÇÃO DE PAGAMENTO S.A."
19540550,461,"ASAAS IP S.A.","ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A."
20018183,665,"STARK BANK S.A. - IP","STARK BANK S.A. - INSTITUICAO DE PAGAMENTO"
20155248,194,"UNIDA DTVM LTDA","UNIDA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."
20251847,538,"SUDACRED SCD S.A.","SUDACRED SOCIEDADE DE CRÉDITO DIRETO S.A."
20308187,588,"AVANCARD PROVER IP LTDA","AVANCARD PROVER INSTITUIÇÃO DE PAGAMENTO LTDA"
20443996,768,"BECKER FINANCEIRA SA - CFI","BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
20757199,561,"PAY4FUN IP S.A.","PAY4FUN INSTITUICAO DE PAGAMENTO S.A."
20833992,772,"CC MECUNP","COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO CENTRO UNIVERSITÁRIO NEWTON PAIVA LTDA. - CREDIPAIVA"
20855875,536,"NEON PAGAMENTOS S.A. IP","NEON PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO"
21018182,383,"EBANX IP LTDA.","EBANX INSTITUICAO DE PAGAMENTOS LTDA."
21332862,324,"CARTOS SCD S.A.","CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A."
21995256,560,"MAG IP LTDA.","MAG INSTITUICAO DE PAGAMENTO LTDA"
22575466,533,"SRM BANK","SRM BANK INSTITUIÇÃO DE PAGAMENTO S/A"
22610500,310,"VORTX DTVM LTDA.","VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA."
22896431,380,PICPAY,"PICPAY INSTITUIçãO DE PAGAMENTO S.A."
23114447,566,"FLAGSHIP IP LTDA","FLAGSHIP INSTITUICAO DE PAGAMENTO LTDA"
23399607,,"CERC S.A.","CERC S.A."
23862762,280,"WILL FINANCEIRA S.A.CFI - EM LIQUIDAÇÃO EXTRAJUDICIAL","WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO - EM LIQUIDAÇÃO EXTRAJUDICIAL"
24074692,146,"GUITTA CC LTDA","GUITTA CORRETORA DE CAMBIO LTDA."
24313102,769,"99PAY IP S.A.","99PAY INSTITUICAO DE PAGAMENTO S.A."
25104230,651,"PAGARE IP S.A.","PAGARE INSTITUICAO DE PAGAMENTO S.A."
